"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B7_6_27_S12-0166_3_BHIrif_-5_36_1","B7","6",27,"S12-0166",3,"BHIrif",-5,"36",1,161,842695872,106567
"B7_6_27_S12-0180_3_BHIrif_-3_36_1","B7","6",27,"S12-0180",3,"BHIrif",-3,"36",1,4,96880,1211
"B7_6_27_S12-0166_3_BHI_-6_36_1","B7","6",27,"S12-0166",3,"BHI",-6,"36",1,162,3452754432,1065665
"B7_6_27_S12-0166_3_BHIrif_-5_36_2","B7","6",27,"S12-0166",3,"BHIrif",-5,"36",2,136,289862240,106567
"B7_6_27_S12-0184_3_BHIrif_-1_36_2","B7","6",27,"S12-0184",3,"BHIrif",-1,"36",2,226,386024.8438,11
"B7_6_27_S12-0184_3_BHIrif_-1_36_1","B7","6",27,"S12-0184",3,"BHIrif",-1,"36",1,219,374068.3125,11
"B7_6_27_S12-0180_3_BHI_-6_36_1","B7","6",27,"S12-0180",3,"BHI",-6,"36",1,207,5013999616,1211111
"B7_6_27_S12-0180_3_BHIrif_-3_36_2","B7","6",27,"S12-0180",3,"BHIrif",-3,"36",2,10,242200,1211
"B7_6_27_S12-0184_3_BHI_-6_36_1","B7","6",27,"S12-0184",3,"BHI",-6,"36",1,210,7371331072,1134483
"B7_6_30_S12-0166_3_BHI_-6_24_1","B7","6",30,"S12-0166",3,"BHI",-6,"24",1,176,5814436352,1067742
"B7_6_30_S12-0180_3_BHI_-6_24_1","B7","6",30,"S12-0180",3,"BHI",-6,"24",1,172,3665887744,1065665
"B7_6_30_S12-0184_3_BHI_-6_24_1","B7","6",30,"S12-0184",3,"BHI",-6,"24",1,112,2410551296,1076139
"B7_6_30_S12-0166_3_BHIrif_-5_36_1","B7","6",30,"S12-0166",3,"BHIrif",-5,"36",1,145,309644608,106774
"B7_6_30_S12-0166_3_BHIrif_-5_36_2","B7","6",30,"S12-0166",3,"BHIrif",-5,"36",2,74,158025520,106774
"B7_6_30_S12-0166_3_BHI_-6_36_1","B7","6",30,"S12-0166",3,"BHI",-6,"36",1,199,4249613056,1067742
"B7_6_30_S12-0180_3_BHIrif_-3_36_1","B7","6",30,"S12-0180",3,"BHIrif",-3,"36",1,98,2089360,1066
"B7_6_30_S12-0180_3_BHIrif_-3_36_2","B7","6",30,"S12-0180",3,"BHIrif",-3,"36",2,96,2046720,1066
"B7_6_30_S12-0180_3_BHI_-6_36_1","B7","6",30,"S12-0180",3,"BHI",-6,"36",1,136,2898608640,1065665
"B7_6_30_S12-0184_3_BHIrif_-1_36_1","B7","6",30,"S12-0184",3,"BHIrif",-1,"36",1,254,137229.8594,11
"B7_6_30_S12-0184_3_BHIrif_-1_36_2","B7","6",30,"S12-0184",3,"BHIrif",-1,"36",2,316,170726.9063,11
"B7_6_30_S12-0184_3_BHI_-5_36_1","B7","6",30,"S12-0184",3,"BHI",-5,"36",1,121,260425872,107614
"B8_10_0_S12-0116_1_BHIrif_-1_24_1","B8","10",0,"S12-0116",1,"BHIrif",-1,"24",1,1,220,11
"B8_10_0_S12-0116_1_BHIrif_-1_24_2","B8","10",0,"S12-0116",1,"BHIrif",-1,"24",2,0,0,11
"B8_10_0_S12-0132_1_BHIrif_-1_24_2","B8","10",0,"S12-0132",1,"BHIrif",-1,"24",2,0,0,10
"B8_10_0_S12-0132_1_BHIrif_-1_24_1","B8","10",0,"S12-0132",1,"BHIrif",-1,"24",1,0,0,10
"B8_10_0_S12-0116_1_BHI_-1_24_1","B8","10",0,"S12-0116",1,"BHI",-1,"24",1,10,2200,11
"B8_10_0_S12-0141_1_BHIrif_-1_24_1","B8","10",0,"S12-0141",1,"BHIrif",-1,"24",1,5,1000,10
"B8_10_0_S12-0132_1_BHI_-1_24_1","B8","10",0,"S12-0132",1,"BHI",-1,"24",1,15,3000,10
"B8_10_0_S12-0141_1_BHI_-1_24_1","B8","10",0,"S12-0141",1,"BHI",-1,"24",1,26,5200,10
"B8_10_0_S12-0141_1_BHIrif_-1_24_2","B8","10",0,"S12-0141",1,"BHIrif",-1,"24",2,1,200,10
"B8_10_1_S12-0116_1_BHIrif_-1_24_1","B8","10",1,"S12-0116",1,"BHIrif",-1,"24",1,0,0,11
"B8_10_1_S12-0116_1_BHIrif_-1_24_2","B8","10",1,"S12-0116",1,"BHIrif",-1,"24",2,1,220,11
"B8_10_1_S12-0132_1_BHI_-1_24_1","B8","10",1,"S12-0132",1,"BHI",-1,"24",1,32,7040,11
"B8_10_1_S12-0132_1_BHIrif_-1_24_2","B8","10",1,"S12-0132",1,"BHIrif",-1,"24",2,0,0,11
"B8_10_1_S12-0132_1_BHIrif_-1_24_1","B8","10",1,"S12-0132",1,"BHIrif",-1,"24",1,1,220,11
"B8_10_1_S12-0116_1_BHI_-1_24_1","B8","10",1,"S12-0116",1,"BHI",-1,"24",1,76,16720,11
"B8_10_1_S12-0141_1_BHIrif_-1_24_2","B8","10",1,"S12-0141",1,"BHIrif",-1,"24",2,12,2640,11
"B8_10_1_S12-0141_1_BHIrif_-1_24_1","B8","10",1,"S12-0141",1,"BHIrif",-1,"24",1,17,3740,11
"B8_10_1_S12-0141_1_BHI_-1_24_1","B8","10",1,"S12-0141",1,"BHI",-1,"24",1,59,12980,11
"B8_10_2_S12-0116_1_BHIrif_-1_24_1","B8","10",2,"S12-0116",1,"BHIrif",-1,"24",1,0,0,11
"B8_10_2_S12-0141_1_BHI_-1_24_2","B8","10",2,"S12-0141",1,"BHI",-1,"24",2,178,276397.5,10
"B8_10_2_S12-0141_1_BHIrif_-1_24_2","B8","10",2,"S12-0141",1,"BHIrif",-1,"24",2,81,16200,10
