"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B5_6_9_S12-0184_2_BHI_-3_24_1","B5",6,9,"S12-0184",2,"BHI",24,13076621,7.11649553675303,"no"
"B5_6_9_S12-0180_2_BHI_-3_24_1","B5",6,9,"S12-0180",2,"BHI",24,3378960,6.52878305064376,"no"
"B5_6_12_S12-0166_2_BHI_-3_24_1","B5",6,12,"S12-0166",2,"BHI",24,20719372,7.31637658789424,"no"
"B5_6_12_S12-0184_2_BHI_-3_24_1","B5",6,12,"S12-0184",2,"BHI",24,39794720,7.59982545330531,"no"
"B5_6_12_S12-0180_2_BHI_-5_24_1","B5",6,12,"S12-0180",2,"BHI",24,428681888,8.63213513476367,"no"
"B5_6_15_S12-0166_2_BHI_-4_24_1","B5",6,15,"S12-0166",2,"BHI",24,103692728,8.01574830026356,"no"
"B5_6_15_S12-0180_2_BHI_-4_24_1","B5",6,15,"S12-0180",2,"BHI",24,149681632,8.17516850969192,"no"
"B5_6_15_S12-0184_2_BHI_-4_24_1","B5",6,15,"S12-0184",2,"BHI",24,393133216,8.59453973910395,"no"
"B5_6_18_S12-0166_2_BHI_-6_24_1","B5",6,18,"S12-0166",2,"BHI",24,477260512,8.67875550281388,"no"
"B5_6_18_S12-0184_2_BHI_-6_24_1","B5",6,18,"S12-0184",2,"BHI",24,1789441536,9.25271751384233,"no"
"B5_6_18_S12-0180_2_BHI_-6_24_1","B5",6,18,"S12-0180",2,"BHI",24,504980160,8.70327431560028,"no"
"B5_6_21_S12-0166_2_BHI_-6_24_1","B5",6,21,"S12-0166",2,"BHI",24,501781440,8.70051459349781,"no"
"B5_6_21_S12-0184_2_BHI_-6_24_1","B5",6,21,"S12-0184",2,"BHI",24,2928424192,9.4666339859456,"no"
"B5_6_21_S12-0180_2_BHI_-6_24_1","B5",6,21,"S12-0180",2,"BHI",24,890286080,8.94952958305103,"no"
"B5_6_24_S12-0166_2_BHI_-6_24_1","B5",6,24,"S12-0166",2,"BHI",24,11329295360,10.0542028992032,"no"
"B5_6_24_S12-0180_2_BHI_-6_24_1","B5",6,24,"S12-0180",2,"BHI",24,9307166720,9.96881749353331,"no"
"B5_6_24_S12-0184_2_BHI_-6_24_1","B5",6,24,"S12-0184",2,"BHI",24,3712092160,9.56961874989666,"no"
"B5_6_27_S12-0184_2_BHI_-6_24_1","B5",6,27,"S12-0184",2,"BHI",24,7005418496,9.8454340846717,"no"
"B5_6_30_S12-0180_2_BHI_-6_24_1","B5",6,30,"S12-0180",2,"BHI",24,4474859008,9.65077935629724,"no"
"B7_6_0_S12-0166_3_BHI_-1_24_1","B7",6,0,"S12-0166",3,"BHI",24,60581.68359,4.78234133838751,"no"
"B7_6_0_S12-0184_3_BHI_-1_24_1","B7",6,0,"S12-0184",3,"BHI",24,14200,4.15228834438306,"no"
"B7_6_0_S12-0180_3_BHI_-3_24_1","B7",6,0,"S12-0180",3,"BHI",24,103200,5.01367969729119,"no"
"B7_6_1_S12-0166_3_BHI_-1_24_1","B7",6,1,"S12-0166",3,"BHI",24,9200,3.96378782734556,"no"
"B7_6_1_S12-0180_3_BHI_-3_24_1","B7",6,1,"S12-0180",3,"BHI",24,501600,5.70035752782266,"no"
"B7_6_1_S12-0184_3_BHI_-1_24_1","B7",6,1,"S12-0184",3,"BHI",24,10780,4.03261876085072,"no"
"B7_6_2_S12-0166_3_BHI_-1_24_1","B7",6,2,"S12-0166",3,"BHI",24,63737.625,4.80439587669951,"no"
"B7_6_2_S12-0180_3_BHI_-3_24_1","B7",6,2,"S12-0180",3,"BHI",24,36673292,7.56434989641448,"no"
"B7_6_3_S12-0166_3_BHI_-3_24_1","B7",6,3,"S12-0166",3,"BHI",24,6885068.5,6.83790826543884,"no"
"B7_6_3_S12-0184_3_BHI_-1_24_1","B7",6,3,"S12-0184",3,"BHI",24,3349409,6.5249681829527,"no"
"B7_6_3_S12-0180_3_BHI_-3_24_1","B7",6,3,"S12-0180",3,"BHI",24,15167633,7.18091781181868,"no"
"B7_6_4_S12-0166_3_BHI_-3_24_1","B7",6,4,"S12-0166",3,"BHI",24,1192480,6.07645110388618,"no"
"B7_6_4_S12-0184_3_BHI_-3_24_1","B7",6,4,"S12-0184",3,"BHI",24,15690398,7.19563395996753,"no"
