"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc"
"B2_6_6_S12-0116_2_BHI_-2_24_1","B2","6",6,"S12-0116","2","BHI","24",1210216.125,6.08286293520347
"B2_6_6_S12-0132_2_BHIrif_-1_24_1","B2","6",6,"S12-0132","2","BHIrif","24",178932.125,5.25268831964915
"B2_6_6_S12-0132_2_BHI_-4_24_1","B2","6",6,"S12-0132","2","BHI","24",61358540,7.78787501721395
"B2_6_6_S12-0141_2_BHIrif_-1_24_1","B2","6",6,"S12-0141","2","BHIrif","24",15400,4.18752072083646
"B2_6_6_S12-0141_2_BHI_-4_24_1","B2","6",6,"S12-0141","2","BHI","24",33213180,7.52131045916766
"B2_6_9_S12-0116_2_BHIrif_-1_24_1","B2","6",9,"S12-0116","2","BHIrif","24",58941.83203,4.77042363046461
"B2_6_9_S12-0116_2_BHI_-4_24_1","B2","6",9,"S12-0116","2","BHI","24",788348480,8.89671823460435
"B2_6_9_S12-0132_2_BHIrif_-3_24_1","B2","6",9,"S12-0132","2","BHIrif","24",10097716,7.0042231519242
"B2_6_9_S12-0132_2_BHI_-4_24_1","B2","6",9,"S12-0132","2","BHI","24",109677208,8.04011638629616
"B2_6_9_S12-0141_2_BHIrif_-1_24_1","B2","6",9,"S12-0141","2","BHIrif","24",276594.95315,5.44184425155383
"B2_6_9_S12-0141_2_BHI_-2_24_1","B2","6",9,"S12-0141","2","BHI","24",5720186,6.75741015072664
"B2_6_12_S12-0116_2_BHIrif_-2_24_1","B2","6",12,"S12-0116","2","BHIrif","24",106200,5.02612451674545
"B2_6_12_S12-0132_2_BHIrif_-4_24_1","B2","6",12,"S12-0132","2","BHIrif","24",27814770,7.44427547311582
"B2_6_12_S12-0116_2_BHI_-5_24_1","B2","6",12,"S12-0116","2","BHI","24",1248216832,9.09629003467447
"B2_6_12_S12-0141_2_BHIrif_-4_24_2","B2","6",12,"S12-0141","2","BHIrif","24",17382150,7.24010349336621
"B2_6_12_S12-0132_2_BHI_-5_24_1","B2","6",12,"S12-0132","2","BHI","24",225922032,8.35395858554389
"B2_6_12_S12-0141_2_BHI_-5_24_1","B2","6",12,"S12-0141","2","BHI","24",260224000,8.41534734828591
"B2_6_15_S12-0116_2_BHI_-6_24_1","B2","6",15,"S12-0116","2","BHI","24",1393934080,9.14424223619444
"B2_6_15_S12-0116_2_BHIrif_-3_24_1","B2","6",15,"S12-0116","2","BHIrif","24",3757050,6.57484697482905
"B2_6_15_S12-0132_2_BHIrif_-5_24_1","B2","6",15,"S12-0132","2","BHIrif","24",115881000,8.06401223431053
"B2_6_15_S12-0132_2_BHI_-6_24_1","B2","6",15,"S12-0132","2","BHI","24",5346673664,9.72808367760154
"B2_6_15_S12-0141_2_BHIrif_-5_24_1","B2","6",15,"S12-0141","2","BHIrif","24",60388640,7.78095524906276
"B2_6_15_S12-0141_2_BHI_-6_24_1","B2","6",15,"S12-0141","2","BHI","24",2136830720,9.32977011866297
"B2_6_18_S12-0116_2_BHIrif_-3_24_1","B2","6",18,"S12-0116","2","BHIrif","24",5992281.5,6.77759220706542
"B2_6_18_S12-0116_2_BHI_-6_24_1","B2","6",18,"S12-0116","2","BHI","24",8073174016,9.90704431373377
"B2_6_18_S12-0132_2_BHI_-6_24_1","B2","6",18,"S12-0132","2","BHI","24",1440072960,9.15838449579158
"B2_6_18_S12-0132_2_BHIrif_-4_24_2","B2","6",18,"S12-0132","2","BHIrif","24",57438582,7.75920370983493
"B2_6_18_S12-0141_2_BHIrif_-5_24_1","B2","6",18,"S12-0141","2","BHIrif","24",80836560,7.9076078238338
"B2_6_18_S12-0141_2_BHI_-6_24_1","B2","6",18,"S12-0141","2","BHI","24",2088272128,9.31978709202564
"B2_6_21_S12-0116_2_BHIrif_-3_24_1","B2","6",21,"S12-0116","2","BHIrif","24",4067460,6.60932329071407
"B2_6_21_S12-0116_2_BHI_-6_24_1","B2","6",21,"S12-0116","2","BHI","24",8247420928,9.9163181604468
"B2_6_21_S12-0132_2_BHIrif_-5_24_1","B2","6",21,"S12-0132","2","BHIrif","24",99497580,7.99781251787711
"B2_6_21_S12-0132_2_BHI_-6_24_1","B2","6",21,"S12-0132","2","BHI","24",5514246656,9.74148618849153
"B2_6_21_S12-0141_2_BHIrif_-5_24_1","B2","6",21,"S12-0141","2","BHIrif","24",152340576,8.18281559332871
"B2_6_21_S12-0141_2_BHI_-6_24_1","B2","6",21,"S12-0141","2","BHI","24",1136865920,9.05570924776796
"B2_6_24_S12-0116_2_BHIrif_-3_24_1","B2","6",24,"S12-0116","2","BHIrif","24",365970,5.56344548602705
"B2_6_24_S12-0116_2_BHI_-6_24_1","B2","6",24,"S12-0116","2","BHI","24",6656559104,9.82324979248704
"B2_6_24_S12-0132_2_BHIrif_-3_24_2","B2","6",24,"S12-0132","2","BHIrif","24",13038015.5,7.11521149300732
"B2_6_24_S12-0132_2_BHI_-6_24_1","B2","6",24,"S12-0132","2","BHI","24",2445357568,9.3883423720303
"B2_6_24_S12-0141_2_BHIrif_-5_24_1","B2","6",24,"S12-0141","2","BHIrif","24",37562400,7.57475333315364
"B2_6_24_S12-0141_2_BHI_-6_24_1","B2","6",24,"S12-0141","2","BHI","24",1794641152,9.25397762211418
"B3_6_0_S12-0116_3_BHI_-1_24_1","B3","6",0,"S12-0116","3","BHI","24",116895.875,5.06779918612894
"B3_6_0_S12-0116_3_BHIrif_-1_24_1","B3","6",0,"S12-0116","3","BHIrif","24",600,2.77815125038364
"B3_6_0_S12-0132_3_BHIrif_-1_24_1","B3","6",0,"S12-0132","3","BHIrif","24",2640,3.42160392686983
"B3_6_0_S12-0132_3_BHI_-1_24_1","B3","6",0,"S12-0132","3","BHI","24",106974.4609,5.0292801065255
"B3_6_0_S12-0141_3_BHI_-1_24_1","B3","6",0,"S12-0141","3","BHI","24",106679.7656,5.02808205277395
"B3_6_0_S12-0141_3_BHIrif_-1_24_1","B3","6",0,"S12-0141","3","BHIrif","24",1440,3.15836249209525
"B3_6_1_S12-0116_3_BHIrif_-1_24_1","B3","6",1,"S12-0116","3","BHIrif","24",500,2.69897000433602
"B3_6_1_S12-0141_3_BHIrif_-1_24_2","B3","6",1,"S12-0141","3","BHIrif","24",1100,3.04139268515822
"B3_6_1_S12-0132_3_BHI_-1_24_1","B3","6",1,"S12-0132","3","BHI","24",236754.9688,5.3742991023523
"B3_6_1_S12-0132_3_BHIrif_-1_24_2","B3","6",1,"S12-0132","3","BHIrif","24",2640,3.42160392686983
"B3_6_1_S12-0116_3_BHI_-1_24_1","B3","6",1,"S12-0116","3","BHI","24",203642.3906,5.30886818666767
"B3_6_1_S12-0141_3_BHI_-1_24_1","B3","6",1,"S12-0141","3","BHI","24",298913.0313,5.47554484879076
"B3_6_2_S12-0116_3_BHIrif_-1_24_1","B3","6",2,"S12-0116","3","BHIrif","24",200,2.30102999566398
"B3_6_2_S12-0116_3_BHI_-3_24_1","B3","6",2,"S12-0116","3","BHI","24",3054000,6.4848690327204
"B3_6_2_S12-0132_3_BHIrif_-1_24_1","B3","6",2,"S12-0132","3","BHIrif","24",1560,3.19312459835446
"B3_6_2_S12-0132_3_BHI_-1_24_1","B3","6",2,"S12-0132","3","BHI","24",696894.375,5.84316695911551
"B3_6_2_S12-0141_3_BHIrif_-1_24_1","B3","6",2,"S12-0141","3","BHIrif","24",500,2.69897000433602
"B3_6_2_S12-0141_3_BHI_-3_24_1","B3","6",2,"S12-0141","3","BHI","24",8366404.5,6.92253885807764
"B3_6_3_S12-0116_3_BHIrif_-1_24_1","B3","6",3,"S12-0116","3","BHIrif","24",100,2
"B3_6_3_S12-0116_3_BHI_-3_24_1","B3","6",3,"S12-0116","3","BHI","24",17132450,7.23381947302959
"B3_6_3_S12-0132_3_BHIrif_-1_24_1","B3","6",3,"S12-0132","3","BHIrif","24",5830,3.76566855475901
"B3_6_3_S12-0132_3_BHI_-3_24_1","B3","6",3,"S12-0132","3","BHI","24",9331090,6.96993237829478
"B3_6_3_S12-0141_3_BHIrif_-1_24_1","B3","6",3,"S12-0141","3","BHIrif","24",1980,3.29666519026153
"B3_6_3_S12-0141_3_BHI_-3_24_1","B3","6",3,"S12-0141","3","BHI","24",224600,5.35140975192544
"B3_6_4_S12-0116_3_BHIrif_-1_24_1","B3","6",4,"S12-0116","3","BHIrif","24",550,2.74036268949424
"B3_6_4_S12-0116_3_BHI_-3_24_1","B3","6",4,"S12-0116","3","BHI","24",111333208,8.04662472318526
"B3_6_4_S12-0132_3_BHIrif_-1_24_1","B3","6",4,"S12-0132","3","BHIrif","24",109405.69534,5.03903993068437
"B3_6_4_S12-0132_3_BHI_-3_24_1","B3","6",4,"S12-0132","3","BHI","24",89321880,7.95095785529767
"B3_6_4_S12-0141_3_BHIrif_-1_24_1","B3","6",4,"S12-0141","3","BHIrif","24",3190,3.50379068305718
"B3_6_4_S12-0141_3_BHI_-3_24_1","B3","6",4,"S12-0141","3","BHI","24",82101568,7.91435145148296
"B3_6_6_S12-0116_3_BHIrif_-1_24_1","B3","6",6,"S12-0116","3","BHIrif","24",440,2.64345267648619
"B3_6_6_S12-0116_3_BHI_-4_24_1","B3","6",6,"S12-0116","3","BHI","24",509318944,8.70698982995913
"B3_6_6_S12-0141_3_BHI_-4_24_1","B3","6",6,"S12-0141","3","BHI","24",1000968768,9.000420526933
"B3_6_6_S12-0141_3_BHIrif_-1_24_2","B3","6",6,"S12-0141","3","BHIrif","24",9460,3.97589113640179
"B3_6_6_S12-0132_3_BHI_-2_24_1","B3","6",6,"S12-0132","3","BHI","24",5450310.5,6.73642124440425
"B3_6_6_S12-0132_3_BHIrif_-1_24_2","B3","6",6,"S12-0132","3","BHIrif","24",66460.396485,4.82256292783547
"B3_6_9_S12-0116_3_BHIrif_-1_24_1","B3","6",9,"S12-0116","3","BHIrif","24",13750,4.13830269816628
"B3_6_9_S12-0116_3_BHI_-4_24_1","B3","6",9,"S12-0116","3","BHI","24",1508411008,9.17851969311585
"B3_6_9_S12-0132_3_BHIrif_-1_24_1","B3","6",9,"S12-0132","3","BHIrif","24",280132.45315,5.44736342445202
"B3_6_9_S12-0141_3_BHIrif_-1_24_2","B3","6",9,"S12-0141","3","BHIrif","24",25410,4.40500466505037
"B3_6_9_S12-0132_3_BHI_-4_24_1","B3","6",9,"S12-0132","3","BHI","24",17271000,7.2373174841748
"B3_6_9_S12-0141_3_BHI_-4_24_1","B3","6",9,"S12-0141","3","BHI","24",77364480,7.88854161080276
"B3_6_12_S12-0116_3_BHIrif_-1_24_1","B3","6",12,"S12-0116","3","BHIrif","24",29480,4.46952747918701
"B3_6_12_S12-0141_3_BHIrif_-3_24_2","B3","6",12,"S12-0141","3","BHIrif","24",33889750,7.53006836511885
"B3_6_12_S12-0132_3_BHI_-4_24_1","B3","6",12,"S12-0132","3","BHI","24",558588160,8.74709172602814
"B3_6_12_S12-0132_3_BHIrif_-3_24_2","B3","6",12,"S12-0132","3","BHIrif","24",4608880,6.66359540067903
"B3_6_12_S12-0116_3_BHI_-4_24_1","B3","6",12,"S12-0116","3","BHI","24",791876608,8.89865751411521
"B3_6_12_S12-0141_3_BHI_-4_24_1","B3","6",12,"S12-0141","3","BHI","24",922933632,8.96517047210664
"B3_6_15_S12-0116_3_BHIrif_-2_24_1","B3","6",15,"S12-0116","3","BHIrif","24",346800,5.54007908880417
"B3_6_15_S12-0116_3_BHI_-5_24_1","B3","6",15,"S12-0116","3","BHI","24",871922880,8.94047807407065
"B3_6_15_S12-0132_3_BHIrif_-3_24_2","B3","6",15,"S12-0132","3","BHIrif","24",17429801.5,7.24129244115787
"B3_6_15_S12-0132_3_BHI_-5_24_1","B3","6",15,"S12-0132","3","BHI","24",1089850496,9.03736692618335
"B3_6_15_S12-0141_3_BHIrif_-5_24_1","B3","6",15,"S12-0141","3","BHIrif","24",53448480,7.7279353589929
"B3_6_15_S12-0141_3_BHI_-5_24_1","B3","6",15,"S12-0141","3","BHI","24",4668442624,9.66917202561833
"B3_6_18_S12-0116_3_BHIrif_-3_24_1","B3","6",18,"S12-0116","3","BHIrif","24",21180,4.32592595577147
"B3_6_18_S12-0116_3_BHI_-6_24_1","B3","6",18,"S12-0116","3","BHI","24",8742336512,9.94162751943708
"B3_6_18_S12-0132_3_BHI_-6_24_1","B3","6",18,"S12-0132","3","BHI","24",7233192960,9.85933005093224
"B3_6_18_S12-0132_3_BHIrif_-5_24_2","B3","6",18,"S12-0132","3","BHIrif","24",74808320,7.87394990173009
"B3_6_18_S12-0141_3_BHIrif_-3_24_1","B3","6",18,"S12-0141","3","BHIrif","24",15320285,7.18526684445951
"B3_6_18_S12-0141_3_BHI_-6_24_1","B3","6",18,"S12-0141","3","BHI","24",2141607680,9.3307399156012
"B3_6_21_S12-0116_3_BHIrif_-2_24_1","B3","6",21,"S12-0116","3","BHIrif","24",206280,5.31445712273468
"B3_6_21_S12-0116_3_BHI_-6_24_1","B3","6",21,"S12-0116","3","BHI","24",7416922624,9.87022374831945
"B3_6_21_S12-0141_3_BHIrif_-5_24_1","B3","6",21,"S12-0141","3","BHIrif","24",24784800,7.39418541873252
"B3_6_21_S12-0132_3_BHI_-6_24_1","B3","6",21,"S12-0132","3","BHI","24",1990732032,9.29901280454976
"B3_6_21_S12-0132_3_BHIrif_-5_24_2","B3","6",21,"S12-0132","3","BHIrif","24",8497020,6.92926664048202
"B3_6_21_S12-0141_3_BHI_-6_24_1","B3","6",21,"S12-0141","3","BHI","24",3073317632,9.48760744756395
"B3_6_24_S12-0116_3_BHIrif_-2_24_1","B3","6",24,"S12-0116","3","BHIrif","24",751701.71875,5.87604554325233
"B3_6_24_S12-0141_3_BHIrif_-3_24_2","B3","6",24,"S12-0141","3","BHIrif","24",27204884,7.43464687844015
"B3_6_24_S12-0132_3_BHI_-6_24_1","B3","6",24,"S12-0132","3","BHI","24",7042664448,9.84773699666244
"B3_6_24_S12-0132_3_BHIrif_-3_24_2","B3","6",24,"S12-0132","3","BHIrif","24",8924154.25,6.95056706826183
"B3_6_24_S12-0116_3_BHI_-6_24_1","B3","6",24,"S12-0116","3","BHI","24",4193916672,9.62261979731433
"B3_6_24_S12-0141_3_BHI_-6_24_1","B3","6",24,"S12-0141","3","BHI","24",7087676416,9.85050388185395
"B4_6_0_S12-0166_1_BHI_-1_24_1","B4","6",0,"S12-0166","1","BHI","24",5720,3.75739602879302
"B4_6_0_S12-0184_1_BHI_-1_24_1","B4","6",0,"S12-0184","1","BHI","24",400,2.60205999132796
"B4_6_0_S12-0180_1_BHI_-1_24_1","B4","6",0,"S12-0180","1","BHI","24",5060,3.7041505168398
"B4_6_0_S12-0166_1_BHIrif_-1_36_1","B4","6",0,"S12-0166","1","BHIrif","36",1890,3.27646180417324
"B4_6_0_S12-0180_1_BHIrif_-1_36_1","B4","6",0,"S12-0180","1","BHIrif","36",1170,3.06818586174616
"B4_6_0_S12-0184_1_BHIrif_-1_36_2","B4","6",0,"S12-0184","1","BHIrif","36",660,2.81954393554187
"B4_6_0_S12-0180_1_BHI_-1_36_1","B4","6",0,"S12-0180","1","BHI","36",4320,3.63548374681491
"B4_6_0_S12-0184_1_BHI_-1_36_1","B4","6",0,"S12-0184","1","BHI","36",880,2.94448267215017
"B4_6_0_S12-0166_1_BHI_-1_36_1","B4","6",0,"S12-0166","1","BHI","36",5220,3.71767050300226
"B4_6_1_S12-0166_1_BHI_-1_24_1","B4","6",1,"S12-0166","1","BHI","24",6300,3.79934054945358
"B4_6_1_S12-0180_1_BHI_-1_24_1","B4","6",1,"S12-0180","1","BHI","24",1080,3.03342375548695
"B4_6_1_S12-0184_1_BHI_-1_24_1","B4","6",1,"S12-0184","1","BHI","24",2420,3.38381536598043
"B4_6_1_S12-0166_1_BHIrif_-1_36_1","B4","6",1,"S12-0166","1","BHIrif","36",5940,3.77378644498119
"B4_6_1_S12-0180_1_BHIrif_-1_36_2","B4","6",1,"S12-0180","1","BHIrif","36",0,1.65321251377534
"B4_6_1_S12-0166_1_BHI_-1_36_1","B4","6",1,"S12-0166","1","BHI","36",6300,3.79934054945358
"B4_6_1_S12-0180_1_BHI_-1_36_1","B4","6",1,"S12-0180","1","BHI","36",1620,3.20951501454263
"B4_6_1_S12-0184_1_BHIrif_-1_36_1","B4","6",1,"S12-0184","1","BHIrif","36",340.20510865,2.53174083085752
"B4_6_1_S12-0184_1_BHI_-1_36_1","B4","6",1,"S12-0184","1","BHI","36",3080,3.48855071650044
"B4_6_2_S12-0166_1_BHI_-1_24_1","B4","6",2,"S12-0166","1","BHI","24",47520,4.67687643197314
"B4_6_2_S12-0180_1_BHI_-1_24_1","B4","6",2,"S12-0180","1","BHI","24",2200,3.34242268082221
"B4_6_2_S12-0184_1_BHI_-1_24_1","B4","6",2,"S12-0184","1","BHI","24",13600,4.13353890837022
"B4_6_2_S12-0166_1_BHIrif_-1_36_1","B4","6",2,"S12-0166","1","BHIrif","36",49800,4.69722934275972
"B4_6_2_S12-0166_1_BHI_-1_36_1","B4","6",2,"S12-0166","1","BHI","36",33360,4.5232260419657
"B4_6_2_S12-0180_1_BHIrif_-1_36_1","B4","6",2,"S12-0180","1","BHIrif","36",4510,3.65417654187796
"B4_6_2_S12-0180_1_BHI_-1_36_1","B4","6",2,"S12-0180","1","BHI","36",4840,3.68484536164441
"B4_6_2_S12-0184_1_BHIrif_-1_36_1","B4","6",2,"S12-0184","1","BHIrif","36",501.4022827,2.70018630680959
"B4_6_2_S12-0184_1_BHI_-1_36_1","B4","6",2,"S12-0184","1","BHI","36",12600,4.10037054511756
"B4_6_3_S12-0166_1_BHI_-3_24_1","B4","6",3,"S12-0166","1","BHI","24",998280,5.99925237034515
"B4_6_3_S12-0184_1_BHI_-1_24_1","B4","6",3,"S12-0184","1","BHI","24",7260,3.86093662070009
"B4_6_3_S12-0180_1_BHI_-1_24_1","B4","6",3,"S12-0180","1","BHI","24",18480,4.26670196688409
"B4_6_3_S12-0166_1_BHIrif_-1_36_1","B4","6",3,"S12-0166","1","BHIrif","36",66197.402345,4.82084094760636
"B4_6_3_S12-0166_1_BHI_-3_36_1","B4","6",3,"S12-0166","1","BHI","36",1062000,6.02612451674545
"B4_6_3_S12-0184_1_BHIrif_-1_36_2","B4","6",3,"S12-0184","1","BHIrif","36",0,1.74036268949424
"B4_6_3_S12-0180_1_BHI_-1_36_1","B4","6",3,"S12-0180","1","BHI","36",22440,4.35102285258412
"B4_6_3_S12-0180_1_BHIrif_-1_36_2","B4","6",3,"S12-0180","1","BHIrif","36",770,2.88649072517248
"B4_6_3_S12-0184_1_BHI_-1_36_1","B4","6",3,"S12-0184","1","BHI","36",8140,3.9106244048892
"B4_6_4_S12-0166_1_BHI_-1_24_1","B4","6",4,"S12-0166","1","BHI","24",63118.8125,4.80015881958114
"B4_6_4_S12-0180_1_BHI_-1_24_1","B4","6",4,"S12-0180","1","BHI","24",1320,3.12057393120585
"B4_6_4_S12-0184_1_BHI_-3_24_1","B4","6",4,"S12-0184","1","BHI","24",1530320,6.18478225415288
"B4_6_4_S12-0166_1_BHIrif_-1_36_1","B4","6",4,"S12-0166","1","BHIrif","36",9100,3.95904139232109
"B4_6_4_S12-0166_1_BHI_-1_36_1","B4","6",4,"S12-0166","1","BHI","36",58168.31641,4.76468649401277
"B4_6_4_S12-0180_1_BHIrif_-1_36_1","B4","6",4,"S12-0180","1","BHIrif","36",0,1.74036268949424
"B4_6_4_S12-0180_1_BHI_-1_36_1","B4","6",4,"S12-0180","1","BHI","36",1540,3.18752072083646
"B4_6_4_S12-0184_1_BHIrif_-1_36_1","B4","6",4,"S12-0184","1","BHIrif","36",500,2.69897000433602
"B4_6_4_S12-0184_1_BHI_-3_36_1","B4","6",4,"S12-0184","1","BHI","36",1923240,6.28403348297584
"B4_6_6_S12-0166_1_BHI_-3_24_1","B4","6",6,"S12-0166","1","BHI","24",398400,5.60031932975166
"B4_6_6_S12-0184_1_BHI_-3_24_1","B4","6",6,"S12-0184","1","BHI","24",447920,5.65120045448693
"B4_6_6_S12-0180_1_BHI_-3_24_1","B4","6",6,"S12-0180","1","BHI","24",3606400,6.55707389436601
"B4_6_6_S12-0166_1_BHIrif_-1_36_1","B4","6",6,"S12-0166","1","BHIrif","36",108546.16405,5.03561448038045
"B4_6_6_S12-0166_1_BHI_-3_36_1","B4","6",6,"S12-0166","1","BHI","36",384332.2813,5.58470686378172
"B4_6_6_S12-0180_1_BHIrif_-1_36_1","B4","6",6,"S12-0180","1","BHIrif","36",0,1.74036268949424
"B4_6_6_S12-0180_1_BHI_-3_36_1","B4","6",6,"S12-0180","1","BHI","36",3561600,6.55164514265461
"B4_6_6_S12-0184_1_BHIrif_-1_36_1","B4","6",6,"S12-0184","1","BHIrif","36",9700,3.98677173426624
"B4_6_6_S12-0184_1_BHI_-3_36_1","B4","6",6,"S12-0184","1","BHI","36",425480,5.62887915056919
"B4_6_9_S12-0166_1_BHI_-2_24_1","B4","6",9,"S12-0166","1","BHI","24",9556641,6.98030527182571
"B4_6_9_S12-0184_1_BHI_-2_24_1","B4","6",9,"S12-0184","1","BHI","24",1188850.625,6.0751272904357
"B4_6_9_S12-0180_1_BHI_-2_24_1","B4","6",9,"S12-0180","1","BHI","24",217280,5.33701975260041
"B4_6_9_S12-0166_1_BHIrif_-3_36_1","B4","6",9,"S12-0166","1","BHIrif","36",5246597.25,6.71987772727898
"B4_6_9_S12-0166_1_BHI_-4_36_1","B4","6",9,"S12-0166","1","BHI","36",3154200,6.49888922740207
"B4_6_9_S12-0180_1_BHIrif_-1_36_1","B4","6",9,"S12-0180","1","BHIrif","36",0,1.74036268949424
"B4_6_9_S12-0180_1_BHI_-2_36_1","B4","6",9,"S12-0180","1","BHI","36",221760,5.34588321293171
"B4_6_9_S12-0184_1_BHIrif_-1_36_1","B4","6",9,"S12-0184","1","BHIrif","36",4800,3.68124123737559
"B4_6_9_S12-0184_1_BHI_-2_36_1","B4","6",9,"S12-0184","1","BHI","36",1193909.625,6.07697145338524
"B4_6_12_S12-0166_1_BHI_-3_24_1","B4","6",12,"S12-0166","1","BHI","24",9283595,6.96771618595216
"B4_6_12_S12-0180_1_BHI_-4_24_1","B4","6",12,"S12-0180","1","BHI","24",5743440,6.7591720884825
"B4_6_12_S12-0184_1_BHI_-4_24_1","B4","6",12,"S12-0184","1","BHI","24",21691320,7.33628598130294
"B4_6_12_S12-0166_1_BHIrif_-3_36_1","B4","6",12,"S12-0166","1","BHIrif","36",598740,5.77723827300953
"B4_6_12_S12-0166_1_BHI_-3_36_1","B4","6",12,"S12-0166","1","BHI","36",7228527,6.85904980753703
"B4_6_12_S12-0180_1_BHIrif_-1_36_1","B4","6",12,"S12-0180","1","BHIrif","36",5720,3.75739602879302
"B4_6_12_S12-0180_1_BHI_-4_36_1","B4","6",12,"S12-0180","1","BHI","36",8296080,6.91887293135001
"B4_6_12_S12-0184_1_BHIrif_-1_36_1","B4","6",12,"S12-0184","1","BHIrif","36",229.3821106,2.3605595444691
"B4_6_12_S12-0184_1_BHI_-4_36_1","B4","6",12,"S12-0184","1","BHI","36",20584620,7.31354285416438
"B4_6_15_S12-0166_1_BHI_-3_24_1","B4","6",15,"S12-0166","1","BHI","24",81371096,7.91047016561521
"B4_6_15_S12-0180_1_BHI_-3_24_1","B4","6",15,"S12-0180","1","BHI","24",19688990,7.29422343839931
"B4_6_15_S12-0184_1_BHI_-5_24_1","B4","6",15,"S12-0184","1","BHI","24",28485080,7.45461744350517
"B4_6_15_S12-0166_1_BHIrif_-4_36_1","B4","6",15,"S12-0166","1","BHIrif","36",26017530,7.41526606400543
"B4_6_15_S12-0166_1_BHI_-5_36_1","B4","6",15,"S12-0166","1","BHI","36",63070000,7.79982283099332
"B4_6_15_S12-0180_1_BHIrif_-1_36_2","B4","6",15,"S12-0180","1","BHIrif","36",41910,4.62231766083384
