"day","prop_spoiled","variance","adj","param"
11,0.117,2.66257472873732,"baseline","no_of_strains"
12,0.138,2.76816743361896,"baseline","no_of_strains"
13,0.161,2.74841628420328,"baseline","no_of_strains"
14,0.183,2.62298381887575,"baseline","no_of_strains"
15,0.201,2.4173542211486,"baseline","no_of_strains"
16,0.223,2.16070544590598,"baseline","no_of_strains"
17,0.247,1.87974411539262,"baseline","no_of_strains"
18,0.276,1.59939192597573,"baseline","no_of_strains"
19,0.308,1.34489769196862,"baseline","no_of_strains"
20,0.333,1.13625685212755,"baseline","no_of_strains"
21,0.358,0.979404603786904,"baseline","no_of_strains"
22,0.397,0.868679204008059,"baseline","no_of_strains"
