"sampling","sample_id","rep","test","average_conc"
"0919A","D2","M","PC",300738.708399366
"0919A","D2","E","PC",158143.6474628
"0919A","D4","B","PC",8682840.23668639
"0919A","D4","M","PC",2881817.82334385
"0919A","D4","E","PC",7192459.52197379
"0919A","D6","B","PC",13718366.9511249
"0919A","D6","M","PC",105019365.079365
"0919A","D6","E","PC",5693777.77777778
"0919A","D8","B","PC",196314059.405941
"0919A","D8","M","PC",90976799.0562329
"0919A","D8","E","PC",131425058.139535
"0919A","D10","B","PC",330327357.755261
"0919A","D10","M","PC",312144006.127921
"0919A","D10","E","PC",443402965.465465
"0919A","D12","B","PC",490168521.462639
"0919A","D12","M","PC",385121980.19802
"0919A","D12","E","PC",257601045.229951
"0919A","D14","B","PC",1101718078.87544
"0919A","D14","M","PC",239697518.708153
"0919A","D14","E","PC",1094601354.04221
"0919A","D16","B","PC",1070311449.15933
"0919A","D16","M","PC",588878497.202239
"0919A","D16","E","PC",2858176583.49328
"0919A","D18","B","PC",2738088033.53658
"0919A","D18","M","PC",3786234076.43312
"0919A","D18","E","PC",4413734251.96851
"0919A","D20","B","PC",738045104.086353
"0919A","D20","M","PC",817929502.369668
"0919A","D20","E","PC",2830691990.57715
"0919A","D0","B","M",78.9503546099291
"0919A","D0","M","M",167.433145009416
"0919A","D0","E","M",352.941176470588
"0919A","D2","B","M",347.500991669972
"0919A","D2","M","M",254.863312202853
"0919A","D2","E","M",245.564669973293
"0919A","D4","B","M",399.211045364892
"0919A","D4","M","M",496.865141955836
"0919A","D4","E","M",195.713184271396
"0919A","D6","B","M",660.513964313421
"0919A","D6","M","M",161.568253968254
"0919A","D6","E","M",147.428174603175
"0919A","D8","B","M",892.336633663366
"0919A","D8","M","M",1162.48132127409
"0919A","D8","E","M",1082.90310077519
"0919A","D10","B","M",1117.28371005456
"0919A","D10","M","M",536.497510532363
"0919A","D10","E","M",1364.31681681682
"0919A","D12","B","M",2042.36883942766
"0919A","D12","M","M",1300.41188118812
"0919A","D12","E","M",1417.53895857089
"0919A","D14","B","M",2497.22764545099
"0919A","D14","M","M",1098.61362741237
"0919A","D14","E","M",3012.6642771804
"0919A","D16","B","M",1767.02361889512
"0919A","D16","M","M",1218.36930455636
"0919A","D16","E","M",1847.12092130518
"0919A","D18","B","M",2703.67759146341
"0919A","D18","M","M",2441.12460191083
"0919A","D18","E","M",2132.47834645669
"0919A","D20","B","M",1254.19429452583
"0919A","D20","M","M",3172.57503949447
"0919A","D20","E","M",2074.85276796231
